date,store_id,product_id,sales,is_holiday,year,month,day,day_of_week,sales_lag_7,sales_lag_30,rolling_mean_7,rolling_mean_30
2021-03-24,1,1,51,0,2021,3,24,4,55,50,54.142857142857146,54.46666666666667
2021-03-25,1,1,50,0,2021,3,25,5,45,46,53.57142857142857,54.5
2021-03-26,1,1,54,0,2021,3,26,6,52,48,54.285714285714285,54.63333333333333
2021-03-27,1,1,69,0,2021,3,27,7,65,47,54.57142857142857,54.833333333333336
2021-03-28,1,1,57,0,2021,3,28,1,56,51,55.142857142857146,55.56666666666667
2021-03-29,1,1,40,0,2021,3,29,2,52,74,55.285714285714285,55.766666666666666
2021-03-30,1,1,54,0,2021,3,30,3,54,61,53.57142857142857,54.63333333333333
2021-03-31,1,1,53,0,2021,3,31,4,51,57,53.57142857142857,54.4
2021-04-01,1,1,46,0,2021,4,1,5,50,55,53.857142857142854,54.266666666666666
2021-04-02,1,1,45,0,2021,4,2,6,54,54,53.285714285714285,53.96666666666667
2021-04-03,1,1,68,0,2021,4,3,7,69,52,52.0,53.666666666666664
2021-04-04,1,1,73,0,2021,4,4,1,57,53,51.857142857142854,54.2
2021-04-05,1,1,48,0,2021,4,5,2,40,53,54.142857142857146,54.86666666666667
2021-04-06,1,1,51,0,2021,4,6,3,54,53,55.285714285714285,54.7
2021-04-07,1,1,46,0,2021,4,7,4,53,54,54.857142857142854,54.63333333333333
2021-04-08,1,1,55,0,2021,4,8,5,46,52,53.857142857142854,54.36666666666667
2021-04-09,1,1,52,0,2021,4,9,6,45,46,55.142857142857146,54.46666666666667
2021-04-10,1,1,65,0,2021,4,10,7,68,52,56.142857142857146,54.666666666666664
2021-04-11,1,1,72,0,2021,4,11,1,73,50,55.714285714285715,55.1
2021-04-12,1,1,60,0,2021,4,12,2,48,74,55.57142857142857,55.833333333333336
2021-04-13,1,1,50,0,2021,4,13,3,51,69,57.285714285714285,55.36666666666667
2021-04-14,1,1,53,0,2021,4,14,4,46,58,57.142857142857146,54.733333333333334
2021-04-15,1,1,55,0,2021,4,15,5,55,46,58.142857142857146,54.56666666666667
2021-04-16,1,1,50,0,2021,4,16,6,52,55,58.142857142857146,54.86666666666667
2021-04-17,1,1,69,0,2021,4,17,7,65,45,57.857142857142854,54.7
2021-04-18,1,1,56,0,2021,4,18,1,72,52,58.42857142857143,55.5
2021-04-19,1,1,0,0,2021,4,19,2,60,65,56.142857142857146,55.63333333333333
2021-04-20,1,1,49,0,2021,4,20,3,50,56,47.57142857142857,53.46666666666667
2021-04-21,1,1,39,0,2021,4,21,4,53,52,47.42857142857143,53.233333333333334
2021-04-22,1,1,52,0,2021,4,22,5,55,54,45.42857142857143,52.8
2021-04-23,1,1,60,0,2021,4,23,6,50,51,45.0,52.733333333333334
2021-04-24,1,1,60,0,2021,4,24,7,69,50,46.42857142857143,53.03333333333333
2021-04-25,1,1,75,0,2021,4,25,1,56,54,45.142857142857146,53.36666666666667
2021-04-26,1,1,50,0,2021,4,26,2,0,69,47.857142857142854,54.06666666666667
2021-04-27,1,1,51,0,2021,4,27,3,49,57,55.0,53.43333333333333
2021-04-28,1,1,51,0,2021,4,28,4,39,40,55.285714285714285,53.233333333333334
2021-04-29,1,1,52,0,2021,4,29,5,52,54,57.0,53.6
2021-04-30,1,1,48,0,2021,4,30,6,60,53,57.0,53.53333333333333
2021-05-01,1,1,68,0,2021,5,1,7,60,46,55.285714285714285,53.36666666666667
2021-05-02,1,1,0,0,2021,5,2,1,75,45,56.42857142857143,54.1
2021-05-03,1,1,51,0,2021,5,3,2,50,68,45.714285714285715,52.6
2021-05-04,1,1,50,0,2021,5,4,3,51,73,45.857142857142854,52.03333333333333
2021-05-05,1,1,52,0,2021,5,5,4,51,48,45.714285714285715,51.266666666666666
2021-05-06,1,1,48,0,2021,5,6,5,52,51,45.857142857142854,51.4
2021-05-07,1,1,60,0,2021,5,7,6,48,46,45.285714285714285,51.3
2021-05-08,1,1,63,0,2021,5,8,7,68,55,47.0,51.766666666666666
2021-05-09,1,1,60,0,2021,5,9,1,0,52,46.285714285714285,52.03333333333333
2021-05-10,1,1,42,0,2021,5,10,2,51,65,54.857142857142854,52.3
2021-05-11,1,1,49,0,2021,5,11,3,50,72,53.57142857142857,51.53333333333333
2021-05-12,1,1,49,0,2021,5,12,4,52,60,53.42857142857143,50.766666666666666
2021-05-13,1,1,52,0,2021,5,13,5,48,50,53.0,50.4
2021-05-14,1,1,61,0,2021,5,14,6,60,53,53.57142857142857,50.46666666666667
2021-05-15,1,1,57,0,2021,5,15,7,63,55,53.714285714285715,50.733333333333334
2021-05-16,1,1,59,0,2021,5,16,1,60,50,52.857142857142854,50.8
2021-05-17,1,1,50,0,2021,5,17,2,42,69,52.714285714285715,51.1
2021-05-18,1,1,47,0,2021,5,18,3,49,56,53.857142857142854,50.46666666666667
2021-05-19,1,1,49,0,2021,5,19,4,49,0,53.57142857142857,50.166666666666664
2021-05-20,1,1,47,0,2021,5,20,5,52,49,53.57142857142857,51.8
2021-05-21,1,1,46,0,2021,5,21,6,61,39,52.857142857142854,51.733333333333334
2021-05-22,1,1,72,0,2021,5,22,7,57,52,50.714285714285715,51.96666666666667
2021-05-23,1,1,65,0,2021,5,23,1,59,60,52.857142857142854,52.63333333333333
2021-05-24,1,1,51,0,2021,5,24,2,50,60,53.714285714285715,52.8
2021-05-25,1,1,45,0,2021,5,25,3,47,75,53.857142857142854,52.5
2021-05-26,1,1,49,0,2021,5,26,4,49,50,53.57142857142857,51.5
2021-05-27,1,1,54,0,2021,5,27,5,47,51,53.57142857142857,51.46666666666667
2021-05-28,1,1,57,0,2021,5,28,6,46,51,54.57142857142857,51.56666666666667
2021-05-29,1,1,70,0,2021,5,29,7,72,52,56.142857142857146,51.766666666666666
2021-05-30,1,1,64,0,2021,5,30,1,65,48,55.857142857142854,52.36666666666667
2021-05-31,1,1,49,0,2021,5,31,2,51,68,55.714285714285715,52.9
2021-06-01,1,1,60,0,2021,6,1,3,45,0,55.42857142857143,52.266666666666666
2021-06-02,1,1,55,0,2021,6,2,4,49,51,57.57142857142857,54.266666666666666
2021-06-03,1,1,70,0,2021,6,3,5,54,50,58.42857142857143,54.4
2021-06-04,1,1,64,0,2021,6,4,6,57,52,60.714285714285715,55.06666666666667
2021-06-05,1,1,81,0,2021,6,5,7,70,48,61.714285714285715,55.46666666666667
2021-06-06,1,1,87,0,2021,6,6,1,64,60,63.285714285714285,56.56666666666667
2021-06-07,1,1,61,0,2021,6,7,2,49,63,66.57142857142857,57.46666666666667
2021-06-08,1,1,66,0,2021,6,8,3,60,60,68.28571428571429,57.4
2021-06-09,1,1,67,0,2021,6,9,4,55,42,69.14285714285714,57.6
2021-06-10,1,1,71,0,2021,6,10,5,70,49,70.85714285714286,58.43333333333333
2021-06-11,1,1,60,0,2021,6,11,6,64,49,71.0,59.166666666666664
2021-06-12,1,1,87,0,2021,6,12,7,81,52,70.42857142857143,59.53333333333333
2021-06-13,1,1,77,0,2021,6,13,1,87,61,71.28571428571429,60.7
2021-06-14,1,1,63,0,2021,6,14,2,61,57,69.85714285714286,61.233333333333334
2021-06-15,1,1,59,0,2021,6,15,3,66,59,70.14285714285714,61.43333333333333
2021-06-16,1,1,56,0,2021,6,16,4,67,50,69.14285714285714,61.43333333333333
2021-06-17,1,1,55,0,2021,6,17,5,71,47,67.57142857142857,61.63333333333333
2021-06-18,1,1,61,0,2021,6,18,6,60,49,65.28571428571429,61.9
2021-06-19,1,1,92,0,2021,6,19,7,87,47,65.42857142857143,62.3
2021-06-20,1,1,94,0,2021,6,20,1,77,46,66.14285714285714,63.8
2021-06-21,1,1,65,0,2021,6,21,2,63,72,68.57142857142857,65.4
2021-06-22,1,1,62,0,2021,6,22,3,59,65,68.85714285714286,65.16666666666667
2021-06-23,1,1,61,0,2021,6,23,4,56,51,69.28571428571429,65.06666666666666
2021-06-24,1,1,58,0,2021,6,24,5,55,45,70.0,65.4
2021-06-25,1,1,63,0,2021,6,25,6,61,49,70.42857142857143,65.83333333333333
2021-06-26,1,1,71,0,2021,6,26,7,92,54,70.71428571428571,66.3
2021-06-27,1,1,85,0,2021,6,27,1,94,57,67.71428571428571,66.86666666666666
2021-06-28,1,1,64,0,2021,6,28,2,65,70,66.42857142857143,67.8
2021-06-29,1,1,57,0,2021,6,29,3,62,64,66.28571428571429,67.6
2021-06-30,1,1,65,0,2021,6,30,4,61,49,65.57142857142857,67.36666666666666
2021-07-01,1,1,60,0,2021,7,1,5,58,60,66.14285714285714,67.9
2021-07-02,1,1,65,0,2021,7,2,6,63,55,66.42857142857143,67.9
2021-07-03,1,1,84,0,2021,7,3,7,71,70,66.71428571428571,68.23333333333333
2021-07-04,1,1,192,1,2021,7,4,1,85,64,68.57142857142857,68.7
2021-07-05,1,1,59,0,2021,7,5,2,64,81,83.85714285714286,72.96666666666667
2021-07-06,1,1,57,0,2021,7,6,3,57,87,83.14285714285714,72.23333333333333
2021-07-07,1,1,62,0,2021,7,7,4,65,61,83.14285714285714,71.23333333333333
2021-07-08,1,1,70,0,2021,7,8,5,60,66,82.71428571428571,71.26666666666667
2021-07-09,1,1,63,0,2021,7,9,6,65,67,84.14285714285714,71.4
2021-07-10,1,1,83,0,2021,7,10,7,84,71,83.85714285714286,71.26666666666667
2021-07-11,1,1,74,0,2021,7,11,1,192,60,83.71428571428571,71.66666666666667
2021-07-12,1,1,40,0,2021,7,12,2,59,87,66.85714285714286,72.13333333333334
2021-07-13,1,1,58,0,2021,7,13,3,57,77,64.14285714285714,70.56666666666666
2021-07-14,1,1,51,0,2021,7,14,4,62,63,64.28571428571429,69.93333333333334
2021-07-15,1,1,59,0,2021,7,15,5,70,59,62.714285714285715,69.53333333333333
2021-07-16,1,1,52,0,2021,7,16,6,63,56,61.142857142857146,69.53333333333333
2021-07-17,1,1,69,0,2021,7,17,7,83,55,59.57142857142857,69.4
2021-07-18,1,1,80,0,2021,7,18,1,74,61,57.57142857142857,69.86666666666666
2021-07-19,1,1,58,0,2021,7,19,2,40,92,58.42857142857143,70.5
2021-07-20,1,1,56,0,2021,7,20,3,58,94,61.0,69.36666666666666
2021-07-21,1,1,50,0,2021,7,21,4,51,65,60.714285714285715,68.1
2021-07-22,1,1,50,0,2021,7,22,5,59,62,60.57142857142857,67.6
2021-07-23,1,1,62,0,2021,7,23,6,52,61,59.285714285714285,67.2
2021-07-24,1,1,88,0,2021,7,24,7,69,58,60.714285714285715,67.23333333333333
2021-07-25,1,1,74,0,2021,7,25,1,80,63,63.42857142857143,68.23333333333333
2021-07-26,1,1,66,0,2021,7,26,2,58,71,62.57142857142857,68.6
2021-07-27,1,1,62,0,2021,7,27,3,56,85,63.714285714285715,68.43333333333334
2021-07-28,1,1,62,0,2021,7,28,4,50,64,64.57142857142857,67.66666666666667
2021-07-29,1,1,66,0,2021,7,29,5,50,57,66.28571428571429,67.6
2021-07-30,1,1,59,0,2021,7,30,6,62,65,68.57142857142857,67.9
2021-07-31,1,1,69,0,2021,7,31,7,88,60,68.14285714285714,67.7
2021-08-01,1,1,87,0,2021,8,1,1,74,65,65.42857142857143,68.0
2021-08-02,1,1,68,0,2021,8,2,2,66,84,67.28571428571429,68.73333333333333
2021-08-03,1,1,51,0,2021,8,3,3,62,192,67.57142857142857,68.2
2021-08-04,1,1,54,0,2021,8,4,4,62,59,66.0,63.5
2021-08-05,1,1,61,0,2021,8,5,5,66,57,64.85714285714286,63.333333333333336
2021-08-06,1,1,60,0,2021,8,6,6,59,62,64.14285714285714,63.46666666666667
2021-08-07,1,1,74,0,2021,8,7,7,69,70,64.28571428571429,63.4
2021-08-08,1,1,66,0,2021,8,8,1,87,63,65.0,63.53333333333333
2021-08-09,1,1,57,0,2021,8,9,2,68,83,62.0,63.63333333333333
2021-08-10,1,1,56,0,2021,8,10,3,51,74,60.42857142857143,62.766666666666666
2021-08-11,1,1,65,0,2021,8,11,4,54,40,61.142857142857146,62.166666666666664
2021-08-12,1,1,63,0,2021,8,12,5,61,58,62.714285714285715,63.0
2021-08-13,1,1,50,0,2021,8,13,6,60,51,63.0,63.166666666666664
2021-08-14,1,1,72,0,2021,8,14,7,74,59,61.57142857142857,63.13333333333333
2021-08-15,1,1,94,0,2021,8,15,1,66,52,61.285714285714285,63.56666666666667
2021-08-16,1,1,69,0,2021,8,16,2,57,69,65.28571428571429,64.96666666666667
2021-08-17,1,1,56,0,2021,8,17,3,56,80,67.0,64.96666666666667
2021-08-18,1,1,66,0,2021,8,18,4,65,58,67.0,64.16666666666667
2021-08-19,1,1,73,0,2021,8,19,5,63,56,67.14285714285714,64.43333333333334
2021-08-20,1,1,55,0,2021,8,20,6,50,50,68.57142857142857,65.0
2021-08-21,1,1,86,0,2021,8,21,7,72,50,69.28571428571429,65.16666666666667
2021-08-22,1,1,68,0,2021,8,22,1,94,62,71.28571428571429,66.36666666666666
2021-08-23,1,1,55,0,2021,8,23,2,69,88,67.57142857142857,66.56666666666666
2021-08-24,1,1,62,0,2021,8,24,3,56,74,65.57142857142857,65.46666666666667
2021-08-25,1,1,61,0,2021,8,25,4,66,66,66.42857142857143,65.06666666666666
2021-08-26,1,1,70,0,2021,8,26,5,73,62,65.71428571428571,64.9
2021-08-27,1,1,60,0,2021,8,27,6,55,62,65.28571428571429,65.16666666666667
2021-08-28,1,1,71,0,2021,8,28,7,86,66,66.0,65.1
2021-08-29,1,1,87,0,2021,8,29,1,68,59,63.857142857142854,65.26666666666667
2021-08-30,1,1,69,0,2021,8,30,2,55,69,66.57142857142857,66.2
2021-08-31,1,1,57,0,2021,8,31,3,62,87,68.57142857142857,66.2
2021-09-01,1,1,48,0,2021,9,1,4,61,68,67.85714285714286,65.2
2021-09-02,1,1,55,0,2021,9,2,5,70,51,66.0,64.53333333333333
2021-09-03,1,1,47,0,2021,9,3,6,60,54,63.857142857142854,64.66666666666667
2021-09-04,1,1,76,0,2021,9,4,7,71,61,62.0,64.43333333333334
2021-09-05,1,1,74,0,2021,9,5,1,87,60,62.714285714285715,64.93333333333334
2021-09-06,1,1,50,0,2021,9,6,2,69,74,60.857142857142854,65.4
2021-09-07,1,1,57,0,2021,9,7,3,57,66,58.142857142857146,64.6
2021-09-08,1,1,49,0,2021,9,8,4,48,57,58.142857142857146,64.3
2021-09-09,1,1,53,0,2021,9,9,5,55,56,58.285714285714285,64.03333333333333
2021-09-10,1,1,47,0,2021,9,10,6,47,65,58.0,63.93333333333333
2021-09-11,1,1,67,0,2021,9,11,7,76,63,58.0,63.333333333333336
2021-09-12,1,1,67,0,2021,9,12,1,74,50,56.714285714285715,63.46666666666667
2021-09-13,1,1,51,0,2021,9,13,2,50,72,55.714285714285715,64.03333333333333
2021-09-14,1,1,46,0,2021,9,14,3,57,94,55.857142857142854,63.333333333333336
2021-09-15,1,1,58,0,2021,9,15,4,49,69,54.285714285714285,61.733333333333334
2021-09-16,1,1,41,0,2021,9,16,5,53,56,55.57142857142857,61.36666666666667
2021-09-17,1,1,48,0,2021,9,17,6,47,66,53.857142857142854,60.86666666666667
2021-09-18,1,1,67,0,2021,9,18,7,67,73,54.0,60.266666666666666
2021-09-19,1,1,72,0,2021,9,19,1,67,55,54.0,60.06666666666667
2021-09-20,1,1,50,0,2021,9,20,2,51,86,54.714285714285715,60.63333333333333
2021-09-21,1,1,46,0,2021,9,21,3,46,68,54.57142857142857,59.43333333333333
2021-09-22,1,1,55,0,2021,9,22,4,58,55,54.57142857142857,58.7
2021-09-23,1,1,60,0,2021,9,23,5,41,62,54.142857142857146,58.7
2021-09-24,1,1,53,0,2021,9,24,6,48,61,56.857142857142854,58.63333333333333
2021-09-25,1,1,63,0,2021,9,25,7,67,70,57.57142857142857,58.36666666666667
2021-09-26,1,1,66,0,2021,9,26,1,72,60,57.0,58.13333333333333
2021-09-27,1,1,45,0,2021,9,27,2,50,71,56.142857142857146,58.333333333333336
2021-09-28,1,1,45,0,2021,9,28,3,46,87,55.42857142857143,57.46666666666667
2021-09-29,1,1,48,0,2021,9,29,4,55,69,55.285714285714285,56.06666666666667
2021-09-30,1,1,54,0,2021,9,30,5,60,57,54.285714285714285,55.36666666666667
2021-10-01,1,1,47,0,2021,10,1,6,53,48,53.42857142857143,55.266666666666666
2021-10-02,1,1,74,0,2021,10,2,7,63,55,52.57142857142857,55.233333333333334
2021-10-03,1,1,67,0,2021,10,3,1,66,47,54.142857142857146,55.86666666666667
2021-10-04,1,1,56,0,2021,10,4,2,45,76,54.285714285714285,56.53333333333333
2021-10-05,1,1,46,0,2021,10,5,3,45,74,55.857142857142854,55.86666666666667
2021-10-06,1,1,41,0,2021,10,6,4,48,50,56.0,54.93333333333333
2021-10-07,1,1,57,0,2021,10,7,5,54,57,55.0,54.63333333333333
2021-10-08,1,1,55,0,2021,10,8,6,47,49,55.42857142857143,54.63333333333333
2021-10-09,1,1,79,0,2021,10,9,7,74,53,56.57142857142857,54.833333333333336
2021-10-10,1,1,70,0,2021,10,10,1,67,47,57.285714285714285,55.7
2021-10-11,1,1,54,0,2021,10,11,2,56,67,57.714285714285715,56.46666666666667
2021-10-12,1,1,54,0,2021,10,12,3,46,67,57.42857142857143,56.03333333333333
2021-10-13,1,1,45,0,2021,10,13,4,41,51,58.57142857142857,55.6
2021-10-14,1,1,48,0,2021,10,14,5,57,46,59.142857142857146,55.4
2021-10-15,1,1,49,0,2021,10,15,6,55,58,57.857142857142854,55.46666666666667
2021-10-16,1,1,67,0,2021,10,16,7,79,41,57.0,55.166666666666664
2021-10-17,1,1,66,0,2021,10,17,1,70,48,55.285714285714285,56.03333333333333
2021-10-18,1,1,50,0,2021,10,18,2,54,67,54.714285714285715,56.63333333333333
2021-10-19,1,1,47,0,2021,10,19,3,54,72,54.142857142857146,56.06666666666667
2021-10-20,1,1,58,0,2021,10,20,4,45,50,53.142857142857146,55.233333333333334
2021-10-21,1,1,47,0,2021,10,21,5,48,46,55.0,55.5
2021-10-22,1,1,43,0,2021,10,22,6,49,55,54.857142857142854,55.53333333333333
2021-10-23,1,1,62,0,2021,10,23,7,67,60,54.0,55.13333333333333
2021-10-24,1,1,58,0,2021,10,24,1,66,53,53.285714285714285,55.2
2021-10-25,1,1,45,0,2021,10,25,2,50,63,52.142857142857146,55.36666666666667
2021-10-26,1,1,56,0,2021,10,26,3,47,66,51.42857142857143,54.766666666666666
2021-10-27,1,1,51,0,2021,10,27,4,58,45,52.714285714285715,54.43333333333333
2021-10-28,1,1,47,0,2021,10,28,5,47,45,51.714285714285715,54.63333333333333
2021-10-29,1,1,55,0,2021,10,29,6,43,48,51.714285714285715,54.7
2021-10-30,1,1,74,0,2021,10,30,7,62,54,53.42857142857143,54.93333333333333
2021-10-31,1,1,68,0,2021,10,31,1,58,47,55.142857142857146,55.6
2021-11-01,1,1,49,0,2021,11,1,2,45,74,56.57142857142857,56.3
2021-11-02,1,1,42,0,2021,11,2,3,56,67,57.142857142857146,55.46666666666667
2021-11-03,1,1,57,0,2021,11,3,4,51,56,55.142857142857146,54.63333333333333
2021-11-04,1,1,58,0,2021,11,4,5,47,46,56.0,54.666666666666664
2021-11-05,1,1,48,0,2021,11,5,6,55,41,57.57142857142857,55.06666666666667
2021-11-06,1,1,65,0,2021,11,6,7,74,57,56.57142857142857,55.3
2021-11-07,1,1,75,0,2021,11,7,1,68,55,55.285714285714285,55.56666666666667
2021-11-08,1,1,49,0,2021,11,8,2,49,79,56.285714285714285,56.233333333333334
2021-11-09,1,1,53,0,2021,11,9,3,42,70,56.285714285714285,55.233333333333334
2021-11-10,1,1,48,0,2021,11,10,4,57,54,57.857142857142854,54.666666666666664
2021-11-11,1,1,35,0,2021,11,11,5,58,54,56.57142857142857,54.46666666666667
2021-11-12,1,1,0,0,2021,11,12,6,48,45,53.285714285714285,53.833333333333336
2021-11-13,1,1,72,0,2021,11,13,7,65,48,46.42857142857143,52.333333333333336
2021-11-14,1,1,59,0,2021,11,14,1,75,49,47.42857142857143,53.13333333333333
2021-11-15,1,1,59,0,2021,11,15,2,49,67,45.142857142857146,53.46666666666667
2021-11-16,1,1,52,0,2021,11,16,3,53,66,46.57142857142857,53.2
2021-11-17,1,1,46,0,2021,11,17,4,48,50,46.42857142857143,52.733333333333334
2021-11-18,1,1,49,0,2021,11,18,5,35,47,46.142857142857146,52.6
2021-11-19,1,1,50,0,2021,11,19,6,0,58,48.142857142857146,52.666666666666664
2021-11-20,1,1,62,0,2021,11,20,7,72,47,55.285714285714285,52.4
2021-11-21,1,1,65,0,2021,11,21,1,59,43,53.857142857142854,52.9
2021-11-22,1,1,48,0,2021,11,22,2,59,62,54.714285714285715,53.63333333333333
2021-11-23,1,1,54,0,2021,11,23,3,52,58,53.142857142857146,53.166666666666664
2021-11-24,1,1,55,0,2021,11,24,4,46,45,53.42857142857143,53.03333333333333
2021-11-25,1,1,91,1,2021,11,25,5,49,56,54.714285714285715,53.36666666666667
2021-11-26,1,1,50,0,2021,11,26,6,50,51,60.714285714285715,54.53333333333333
2021-11-27,1,1,60,0,2021,11,27,7,62,47,60.714285714285715,54.5
2021-11-28,1,1,66,0,2021,11,28,1,65,55,60.42857142857143,54.93333333333333
2021-11-29,1,1,47,0,2021,11,29,2,48,74,60.57142857142857,55.3
2021-11-30,1,1,57,0,2021,11,30,3,54,68,60.42857142857143,54.4
2021-12-01,1,1,80,0,2021,12,1,4,55,49,60.857142857142854,54.03333333333333
2021-12-02,1,1,73,0,2021,12,2,5,91,42,64.42857142857143,55.06666666666667
2021-12-03,1,1,73,0,2021,12,3,6,50,57,61.857142857142854,56.1
2021-12-04,1,1,120,0,2021,12,4,7,60,58,65.14285714285714,56.63333333333333
2021-12-05,1,1,90,0,2021,12,5,1,66,48,73.71428571428571,58.7
2021-12-06,1,1,0,0,2021,12,6,2,47,65,77.14285714285714,60.1
2021-12-07,1,1,81,0,2021,12,7,3,57,75,70.42857142857143,57.93333333333333
2021-12-08,1,1,83,0,2021,12,8,4,80,49,73.85714285714286,58.13333333333333
2021-12-09,1,1,81,0,2021,12,9,5,73,53,74.28571428571429,59.266666666666666
2021-12-10,1,1,78,0,2021,12,10,6,73,48,75.42857142857143,60.2
2021-12-11,1,1,101,0,2021,12,11,7,120,35,76.14285714285714,61.2
2021-12-12,1,1,92,0,2021,12,12,1,90,0,73.42857142857143,63.4
2021-12-13,1,1,88,0,2021,12,13,2,0,72,73.71428571428571,66.46666666666667
2021-12-14,1,1,92,0,2021,12,14,3,81,59,86.28571428571429,67.0
2021-12-15,1,1,70,0,2021,12,15,4,83,59,87.85714285714286,68.1
2021-12-16,1,1,85,0,2021,12,16,5,81,52,86.0,68.46666666666667
2021-12-17,1,1,75,0,2021,12,17,6,78,46,86.57142857142857,69.56666666666666
2021-12-18,1,1,90,0,2021,12,18,7,101,49,86.14285714285714,70.53333333333333
2021-12-19,1,1,94,0,2021,12,19,1,92,50,84.57142857142857,71.9
2021-12-20,1,1,76,0,2021,12,20,2,88,62,84.85714285714286,73.36666666666666
2021-12-21,1,1,81,0,2021,12,21,3,92,65,83.14285714285714,73.83333333333333
2021-12-22,1,1,63,0,2021,12,22,4,70,48,81.57142857142857,74.36666666666666
2021-12-23,1,1,71,0,2021,12,23,5,85,54,80.57142857142857,74.86666666666666
2021-12-24,1,1,132,1,2021,12,24,6,75,55,78.57142857142857,75.43333333333334
